Time (s),Torque (Nm),X Accel (m/s2),Y Accel (m/s2),Z Accel (m/s2),CNT 1/Angle (Degrees),CNT 1/Frequency (RPM)
8.21652000,-0.0345359407365322,0.161632210016251,0.0271676275879145,-0.0743115842342377,4982.34375,0
8.21653000,-0.0345359407365322,0.0542464256286621,0.0747109800577164,-0.0601049549877644,4982.34375,0
8.21654000,-0.0345359407365322,-0.0653171241283417,-0.0226396899670362,-0.0448055118322372,4982.34375,0
8.21655000,-0.0345359407365322,-0.0885655954480171,-0.0192437376827002,-0.0349701568484306,4982.34375,0
8.21656000,-0.0345359407365322,-0.0985292196273804,-0.0396194569766521,-0.0207635294646025,4982.34375,0
8.21657000,-0.0345359407365322,0.118456482887268,-0.156213864684105,-0.0896110236644745,4982.34375,0
8.21658000,-0.0345359407365322,-0.00221413979306817,-0.0373554900288582,0.0415270589292049,4982.34375,0
8.21659000,-0.0345359407365322,-0.18930895626545,0.00113198452163488,-0.0273204352706671,4982.34375,0
8.21660000,-0.0345359407365322,-0.0874585211277008,0.169797673821449,-0.0273204352706671,4982.34375,0
8.21661000,-0.0345359407365322,0.0487110763788223,0.018111752346158,-0.0240419823676348,4982.34375,0
8.21662000,-0.0345359407365322,-0.00221413979306817,-0.0486753359436989,-0.0994463786482811,4982.34375,0
8.21663000,-0.0345359407365322,0.00664241937920451,0.0384874753654003,-0.0972607433795929,4982.34375,0
8.21664000,-0.0345359407365322,-0.0730666145682335,0.0747109800577164,0.0764972195029259,4982.34375,0
8.21665000,-0.0345359407365322,-0.0985292196273804,-0.0679190680384636,-0.271018713712692,4982.34375,0
8.21666000,-0.0345359407365322,-0.0210343282669783,0.0294315982609987,-0.224027559161186,4982.34375,0
8.21667000,-0.0345359407365322,0.0254626087844372,-0.0260356441140175,0.0961679294705391,4982.34375,0
8.21668000,-0.0345359407365322,-0.033212099224329,-0.0860308259725571,-0.0491767823696136,4982.34375,0
